,geography,cause_of_death,gender,age_desc,age_code,measure,time_format,unit,time,obs_value,age_type
106,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2020,0,adult
107,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2021,1,adult
108,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2022,0,adult
109,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2023,0,adult
110,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2013,0,adult
111,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2014,0,adult
112,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2015,0,adult
113,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2016,0,adult
114,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2017,0,adult
115,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2018,0,adult
116,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2019,0,adult
117,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2020,0,adult
118,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2021,0,adult
119,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2022,0,adult
120,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2023,0,adult
121,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2013,0,adult
122,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2014,0,adult
123,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2015,0,adult
124,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2016,0,adult
125,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2017,0,adult
126,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2018,0,adult
127,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2019,0,adult
128,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2020,0,adult
129,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2021,0,adult
130,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2022,0,adult
131,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2023,0,adult
132,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2013,0,adult
133,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2014,0,adult
134,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2015,0,adult
135,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2016,0,adult
136,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2017,0,adult
137,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2018,0,adult
138,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2019,0,adult
139,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2020,0,adult
140,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2021,0,adult
141,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2022,0,adult
142,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2023,0,adult
143,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2013,0,adult
144,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2014,0,adult
145,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2015,0,adult
146,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2016,0,adult
147,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2017,0,adult
148,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2018,0,adult
149,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2019,0,adult
150,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2020,0,adult
151,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2021,0,adult
152,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2022,0,adult
153,North East,W54 Bitten or struck by dog,Male,Aged 60-64,14,Deaths,Annual,Persons,2023,0,adult
154,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2013,0,adult
155,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2014,0,adult
156,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2015,0,adult
157,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2016,0,adult
158,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2017,0,adult
159,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2018,0,adult
160,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2019,0,adult
161,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2020,0,adult
162,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2021,0,adult
163,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2022,0,adult
164,North East,W54 Bitten or struck by dog,Male,Aged 65-69,15,Deaths,Annual,Persons,2023,0,adult
165,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2013,0,adult
166,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2014,0,adult
167,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2015,0,adult
168,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2016,0,adult
169,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2017,0,adult
170,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2018,0,adult
171,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2019,0,adult
172,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2020,0,adult
173,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2021,0,adult
174,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2022,0,adult
175,North East,W54 Bitten or struck by dog,Male,Aged 70-74,16,Deaths,Annual,Persons,2023,0,adult
176,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2013,0,adult
177,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2014,0,adult
178,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2015,0,adult
179,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2016,0,adult
180,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2017,0,adult
181,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2018,0,adult
182,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2019,0,adult
183,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2020,0,adult
